input_job_title,minimum_salary,Average_salary,maximum_salary
Assistant Director Of Finance,$65081,$106712,$174974
Head English Teacher,$35586,$54345,$82992
Flight Simulator Technician,$22196,$39469,$70183
Kitchen Coordinator,$42111,$56006,$74485
Cleaning Crew,$23448,$35264,$53036
Corporate Safety Manager,$58408,$82943,$117783
Room Service Supervisor,$37812,$52508,$72917
Senior Marine Engineer,$77217,$106155,$148815
Marine Engineer,$61024,$89962,$132622
Room Leader,$28832,$41836,$60703
Cargo Customer Service Agent,$35456,$59863,$101072
Chemistry Faculty,$31141,$61372,$120952
Intelligence Operations Specialist,$54287,$88080,$142908
Maintenance Control Manager,$60554,$87323,$125927
Full Time Keyholder,$35789,$47670,$63494
Transportation Security Manager,$49918,$74817,$112137
Food Champion,$28042,$38766,$53590
Deputy Court Administrator,$38461,$66949,$116537
Clinical Exercise Physiologist,$24387,$41816,$71699
Office Cleaner,$27144,$34601,$44106
Technology Business Consultant,$50996,$84842,$141151
Chief Diversity Officer,$69619,$130130,$243237
Associate Director Of Health Economics,$59296,$103012,$178956
Senior Account Clerk,$32531,$45113,$62561
Stower,$28100,$39148,$54541
Nursing Aide,$29013,$42136,$61195
Suicide Prevention Coordinator,$39524,$61110,$94487
Senior Forensic Analyst,$69783,$112114,$188458
Hand Therapist,$42331,$77470,$141779
Electronics Department Manager,$64172,$99234,$153454
Medical Records Supervisor,$40057,$71008,$125871
Patient Experience Manager,$23413,$40823,$71177
Elementary English Teacher,$30330,$51295,$86751
Senior Mortgage Closer,$56791,$70272,$86954
Utility Coordinator,$50297,$81598,$132377
Contract Agent,$39018,$71133,$129683
Online Store Manager,$33190,$58736,$103944
Senior Incident Manager,$63199,$95211,$143437
Postal Worker,$29373,$41448,$58487
Electronic Banking Specialist,$47029,$70736,$106393
Second Engineer,$59731,$100443,$168903
Intellectual Property Consultant,$51591,$97727,$185122
Security Officer Supervisor,$51641,$80364,$125063
Gis Technician,$29990,$43121,$62002
Senior Fraud Representative,$42737,$70145,$115130
General Operative,$23102,$27718,$33256
Construction Contractor,$25770,$58713,$133767
Immigration Analyst,$46041,$72159,$113095
Epic Instructional Designer,$46230,$70670,$108030
Senior Management Specialist,$84632,$131865,$205457
Aviation Technician,$45593,$67382,$99585
Software Test Automation Engineer,$63871,$98715,$152570
Unit Deployment Manager,$53248,$88126,$145849
Game Artist,$34022,$74525,$163249
Janitorial,$33966,$45641,$62122
Mailroom Manager,$36645,$69752,$132772
Service Program Manager,$43378,$77229,$137498
Sales Receptionist,$33863,$47787,$67434
Vocational Supervisor,$35361,$58648,$97272
Project Manager - Construction,$59142,$90407,$138200
Loss Mitigation Underwriter,$39524,$61110,$94487
Senior Regional Leader,$52010,$81454,$127566
Insurance Technician,$22196,$39469,$70183
Customer Service Expert,$35456,$59863,$101072
Retail Service Specialist,$32269,$45698,$64714
Contract Corporate Flight Attendant,$24130,$39534,$64770
Food Attendant,$22277,$36935,$61239
Director Of Compensation,$53306,$99247,$184783
Repair Representative,$34722,$63384,$115704
Speech Language Specialist,$29518,$56621,$108612
Teacher Helper,$22972,$32408,$45719
Station Operator,$41104,$58093,$82105
Program Control Manager,$43378,$77229,$137498
Electrician Foreman,$38348,$60874,$96631
Chess Coach,$19234,$36172,$68027
Office Helper,$47938,$65664,$89946
Associate Professor Of English,$48489,$90217,$167337
Customer Agent,$35456,$59863,$101072
National Network Management Director,$53958,$88579,$145413
Security Technician,$66656,$108337,$176083
Data Monitor Analyst,$49054,$75195,$115266
Car Cleaner,$23448,$35264,$53036
Research Experience,$33776,$75665,$169504
Order Fulfillment Supervisor,$29711,$39054,$51336
Senior Document Control Specialist,$37246,$64242,$110803
Health Center Assistant,$28775,$42308,$62206
International Trade Compliance Specialist,$41247,$71211,$122942
Camp Counsellor,$24994,$36709,$53915
English Language Specialist,$29518,$56621,$108612
Bankruptcy Analyst,$46041,$72159,$113095
Site Clerk,$34231,$47833,$66839
Consumer Service Associate,$43528,$60660,$84534
Lead Clinical Data Manager,$133326,$186357,$251139
Loan Services Specialist,$33902,$47153,$65585
Punch Press Operator,$32506,$44511,$60949
Contract Review Specialist,$45969,$71958,$112640
Claims Advisor,$40109,$57308,$81882
Coding Compliance Specialist,$37085,$54482,$80040
Senior Contracts Management,$84632,$131865,$205457
Environmental Services Supervisor,$47741,$76108,$121330
Head Track Coach,$28300,$52916,$98946
Senior Immunology Specialist,$50610,$80911,$129355
Business Support Officer,$37990,$63024,$104552
Speech-Language Pathology Graduate Student,$78525,$116636,$173244
Customs Compliance Coordinator,$41247,$71211,$122942
Residency Program Manager,$40584,$67355,$111787
Restaurant Staff,$22580,$35781,$56700
Pipefitter Journeyman,$44350,$63212,$90095
Medical Records Field Technician,$46438,$70326,$106503
Cash Processor,$26059,$37990,$55384
Data Platform Engineer,$95855,$144572,$218050
Territory Account Manager,$44350,$69816,$109903
Client Liaison Officer,$33991,$67123,$132549
Field Liaison,$33991,$67123,$132549
Slot Shift Manager,$42070,$63718,$96488
Senior Bid Manager,$58212,$82530,$117008
Revenue Cycle Associate,$45975,$77233,$129743
Court Coordinator,$43288,$68854,$109519
Regional Revenue Manager,$55713,$89541,$143909
Class Assistant,$38697,$59140,$90385
Irrigation Technician,$35794,$49377,$68114
Warehouse Operations Supervisor,$44626,$58628,$77024
Wireless Project Manager,$38391,$56452,$83011
Russian Linguist,$70521,$91440,$118562
Central Checkout Manager,$35451,$45466,$58309
Student Social Worker,$41119,$60395,$88707
Senior Credit Officer,$80867,$130620,$214093
Data Officer,$25694,$38725,$58366
Outbound Supervisor,$35361,$58648,$97272
Lead Structural Engineer,$60486,$92260,$140725
Primary Care Provider,$126009,$196698,$307044
Utility Operator,$34387,$47648,$66023
Senior Medical Billing Specialist,$32479,$41189,$52794
Visa Specialist,$39162,$70245,$126000
Second Secretary,$21580,$31346,$45531
Polysomnographic Technician,$22196,$39469,$70183
Treasury Sales Analyst,$77021,$89271,$103470
Resource Management Specialist,$43299,$74204,$127165
Cleaning Assistant,$23448,$35264,$53036
Shiftleader,$33405,$48004,$68982
Visual Merchandising Team Leader,$45635,$63440,$88191
Property Management Business Partner,$39173,$60178,$92444
Aircraft Armament Technician,$45593,$67382,$99585
Community Worker,$43081,$63980,$95017
Risk Operations Specialist,$33863,$55808,$91974
Transformation Specialist,$39162,$70245,$126000
Sql Server Database Administrator,$64365,$93450,$135679
Aba Therapist,$36847,$54060,$79315
Scientific Liaison,$33991,$67123,$132549
Special Needs Teacher,$36011,$57446,$91640
Vacation Rental Manager,$52383,$71338,$97152
Quarterbacks Coach,$19234,$36172,$68027
Environmental Compliance Coordinator,$56111,$85542,$130410
Financial Aid Manager,$77212,$103750,$139407
Airport Agent,$23750,$29999,$37893
Radiology Transcriptionist,$32013,$48023,$72038
Order Writer,$19708,$33341,$56406
Mechanical Maintenance Engineer,$42200,$56449,$75508
Hatchery Technician,$32967,$47820,$69366
Pharmacy Supervisor,$83516,$121312,$176212
Certified Dietary Manager,$39755,$55841,$78435
Associate Technical Writer,$38790,$62133,$99546
Senior Housing Specialist,$45626,$57801,$74002
Certified Real Estate Appraiser,$35092,$64297,$117806
Resident Agent,$17384,$31004,$55295
Crossfit Trainer,$25803,$54301,$114273
Lead Medical Support Assistant,$33023,$46179,$64575
Depot Manager,$41405,$60525,$88473
Junior Controller,$56877,$80685,$114457
Veterinarian Assistant,$28386,$38272,$51603
Human Resources Information System Analyst,$53479,$81598,$124504
Task Force Manager,$36645,$69752,$132772
Staff Occupational Therapist,$53940,$87494,$141921
Elderly Care,$34282,$52424,$80168
Director Of Housing,$53306,$99247,$184783
Pastry Baker,$36013,$48975,$66601
Church Pianist,$32060,$69290,$149753
Senior Strategic Buyer,$59320,$78700,$162158
Portfolio Executive,$50831,$96637,$183720
House Keeping,$27252,$42359,$65840
Enforcement Agent,$42574,$58853,$81357
Trademark Administrator,$43708,$74678,$127592
Operations Support Officer,$46358,$89875,$174243
Collection Development Librarian,$36677,$57280,$89455
Certified Hemodialysis Technician,$42218,$61118,$88480
Fixed Asset Supervisor,$55716,$90907,$148326
Turnaround Coordinator,$34524,$73206,$155231
Gerente General,$31288,$43988,$61843
Senior Financial Advisor,$88498,$135474,$217653
Window Cleaner,$33837,$48566,$69706
Turbine Mechanic,$35971,$59093,$97076
Missile Combat Crew Commander,$43222,$79778,$147251
Supervising Manager,$35361,$58648,$97272
Certified Medical Interpreter,$45750,$68307,$101986
Senior Project Control Specialist,$75173,$108251,$155884
Commercial Banking Specialist,$39162,$70245,$126000
Senior Cabin Crew,$31246,$46650,$71886
Investment Adviser Representative,$36075,$76730,$163203
Orchestra Teacher,$14500,$28117,$55512
Professional Staff Member,$72518,$119394,$196568
Lead Assembler,$52875,$74584,$105206
Contract Officer,$50851,$76705,$115704
Yard Operations Manager,$44410,$66021,$98147
Visa Coordinator,$25966,$39683,$60646
Turnover Coordinator,$25966,$39683,$60646
Fingerprint Specialist,$28313,$37391,$49378
Director Of Knowledge Management,$54378,$94383,$163819
Filing Specialist,$39162,$70245,$126000
Meat Team Leader,$27534,$42159,$64552
Meat Team Member,$24559,$37065,$55940
Health Information Management Director,$49773,$89687,$161608
Learning Support Teacher,$14500,$28117,$55512
Process Controller,$73150,$107719,$158625
Shipping And Receiving Clerk,$32139,$40621,$51341
Unarmed Security Officer,$42574,$58853,$81357
Project Head,$76654,$124124,$200991
Cheese Buyer,$38955,$75283,$145486
Account Payable,$28526,$38696,$52491
Assessment Editor,$36333,$62817,$108606
Service Account Manager Associate,$30144,$53674,$95571
Music Minister,$15912,$29899,$56179
Dean Of Instruction,$47704,$90199,$170549
Executive Team Lead Specialty Sales,$43092,$80795,$151484
Head Operator,$41104,$58093,$82105
Certified Occupancy Specialist,$34701,$49431,$70411
Slot Supervisor,$35361,$58648,$97272
Design Release Engineer,$73365,$103419,$145784
Junior Systems Engineer,$50569,$76159,$114698
Helpline Volunteer,$18626,$37528,$102022
Medical Assisting Instructor,$16827,$32110,$61273
Field Accountant,$43174,$61809,$88488
Field Surveyor,$50550,$79809,$126005
Licensed Relationship Manager,$39321,$63688,$103154
Environmental Advisor,$42494,$69666,$114213
Image Analyst,$46041,$72159,$113095
Knowledge Management Officer,$54378,$94383,$163819
Aircraft Maintenance Manager,$45593,$67382,$99585
Administrative Law Judge,$36298,$73815,$150112
Broker Sales Executive,$43092,$80795,$151484
Central Relationship Manager,$36645,$69752,$132772
Research Services Coordinator,$35500,$48290,$65688
Regional Investigator,$42409,$72435,$123720
Floor Crew,$31863,$44396,$61858
Custodial Supervisor,$40978,$53709,$70396
Transport Driver,$23996,$38028,$60265
Plumber Helper,$27410,$43217,$68139
Cosmetologist Manager,$23990,$54141,$122184
Lead Nuclear Medicine Technologist,$109419,$150278,$210676
Body Shop Advisor,$41640,$67781,$110331
Service Delivery Consultant,$23035,$49291,$105472
Senior Accounting Technician,$44100,$56615,$72681
Sexual Assault Response Coordinator,$41831,$73926,$130644
Enrollment Analyst,$46041,$72159,$113095
Compounder,$22778,$43199,$81925
Master Data Manager,$138288,$174732,$239515
Warehouse Selector,$29654,$45905,$71060
Emergency Management Director,$61962,$135457,$296123
Deputy Attorney General,$56832,$99043,$172605
Story Assistant,$38697,$59140,$90385
Apprentice Lineman,$32865,$52306,$83245
Branch Customer Service Representative,$35456,$59863,$101072
Office Generalist,$36125,$61475,$104615
Supervising Librarian,$36677,$57280,$89455
Pilot Technician,$61735,$104245,$176027
Residential Program Supervisor,$43019,$59440,$82130
Senior Delivery Analyst,$54150,$81011,$125139
Claims Generalist,$43839,$54898,$69255
Language Engineer,$59731,$100443,$168903
Graduate Architect,$59602,$97265,$158729
Direct Sales Coordinator,$36801,$66638,$120667
Housekeeping Assistant,$27252,$42359,$65840
General Services Assistant,$29799,$43889,$64640
Hotel General Manager,$38015,$60703,$96931
Quality Review Analyst,$38128,$62398,$102118
Senior Bridge Engineer,$66134,$96095,$139628
Foster Care Supervisor,$36414,$54940,$82892
Front Desk Operator,$31468,$42681,$57888
Early Childhood Assistant,$25489,$42753,$71708
Community Health Advisor,$25393,$36528,$52545
Intercultural Aide,$38697,$59140,$90385
Vulnerability Management Analyst,$49593,$75254,$114191
Lead Salesforce Developer,$81326,$113966,$159707
Education Services Officer,$45742,$75203,$123639
Radiology Technologist Assistant,$46621,$80495,$138979
Cleaning Service,$23448,$35264,$53036
Steel Detailer,$36297,$51463,$72965
Quality Assurance Executive,$21540,$41379,$79489
Debt Collection Specialist,$51968,$67288,$87124
Prior Authorization Supervisor,$27991,$45032,$72449
Healthcare Interpreter,$31521,$52895,$88761
Certified Sterile Processing Tech,$57233,$74954,$98163
Court Officer,$27383,$38346,$53698
Linehaul Manager,$49611,$65889,$87508
Director Of Behavioral Health,$30648,$64477,$135642
Chief Nuclear Medicine Technologist,$129523,$169213,$229611
Nuclear Cardiology Technologist,$76071,$115761,$176159
Sustainability Program Manager,$56111,$85542,$130410
Lead Application Specialist,$63119,$106658,$168613
Part Time Cashier,$23445,$31971,$43598
Senior Fraud Investigator,$43719,$67452,$104070
System Safety Specialist,$48338,$69782,$100739
Wire Transfer Specialist,$39162,$70245,$126000
Supervisory Transportation Security Officer,$32208,$44776,$62249
International Project Coordinator,$34525,$54409,$85744
Criminal Justice Teacher,$14500,$28117,$55512
Circulation Librarian,$36677,$57280,$89455
Workers' Compensation Claims Assistant,$31026,$46348,$69237
Medical Assisting Program Director,$38884,$67200,$116135
Sales Executive Manager,$76412,$114115,$184804
Senior Assessment Specialist,$54169,$82935,$144151
Life Science Specialist,$54232,$104360,$200822
Liability Supervisor,$35361,$58648,$97272
Financial Lines Underwriter,$49800,$86789,$151251
Custodial Manager,$21270,$27722,$36131
Network Management Representative,$53958,$88579,$145413
Senior Hr,$60290,$92289,$141271
Bilingual Kindergarten Teacher,$26688,$41219,$63662
Medical Billing Representative,$26196,$34906,$46511
Global Mobility Consultant,$31596,$55380,$97066
Global Logistics Manager,$42005,$68970,$113244
Senior Commercialization Manager,$70213,$110354,$173444
Mailroom Supervisor,$33211,$45561,$62505
Anti-Money Laundering Analyst,$51257,$76098,$112976
Loan Operations Manager,$40246,$76235,$144408
Operation Support,$22903,$32977,$47481
Leading Specialist,$17521,$34086,$66311
Technical Animator,$24105,$43331,$77892
Autistic Support Teacher,$14500,$28117,$55512
Serviceman,$32931,$51205,$79618
Special Security Officer,$42574,$58853,$81357
Systems Mechanic,$35971,$59093,$97076
Laboratory Animal Technician,$32568,$61934,$117778
Senior Lease Analyst,$87291,$128800,$173102
Lead Transportation Security Officer,$41610,$54178,$71651
Sound Operator,$41104,$58093,$82105
Safety Attendant,$23742,$33613,$47587
Assistant Director Of Career Services,$53074,$69903,$92068
Global Security Operations Center Operator,$42574,$58853,$81357
Lead Scrum Master,$98137,$140072,$185874
Bell Attendant,$23742,$33613,$47587
Assistant Security Manager,$38590,$69404,$124824
Information Systems Security Officer,$42574,$58853,$81357
Certified Peer Support Specialist,$30823,$41640,$56252
Order Management Manager,$33112,$51210,$79200
Bakery Worker,$36013,$48975,$66601
Air Traffic Control Instructor,$31139,$54740,$96231
Baby Nurse,$62404,$104779,$175930
Apparel Sales Lead,$43710,$68633,$107766
Radiation Therapist,$90118,$120851,$162065
Global Payroll Director,$35843,$60111,$100812
Certified Court Interpreter,$48244,$67608,$94744
Inbound Call Center Agent,$29908,$38203,$48798
Effects Animator,$24105,$43331,$77892
Private Nurse,$62404,$104779,$175930
Food Production Worker,$30483,$38618,$48924
Private Duty Caregiver,$27649,$36507,$48202
Semi Driver,$39314,$59256,$89313
Credit Executive,$50831,$96637,$183720
Technical Documentation Writer,$38829,$62189,$99602
Seafood Buyer,$38955,$75283,$145486
Senior Commodity Specialist,$54893,$83969,$142210
Program Operations Specialist,$29734,$46763,$73542
Bankruptcy Manager,$36645,$69752,$132772
Human Resources Assistant Recruiter,$31816,$43190,$58630
Financial Investigator,$30017,$54364,$98459
Vehicle Coordinator,$45165,$60779,$81792
Administrative Lieutenant,$38026,$64531,$109512
International Tax Manager,$81158,$113975,$160061
Building Services Manager,$39780,$68428,$117708
Personal Care Service Provider,$24877,$35797,$51511
Career Services Director,$53074,$69903,$92068
Ceramics Teacher,$14500,$28117,$55512
Patient Safety Manager,$58408,$82943,$117783
Delivery Assistant,$43751,$67208,$103242
Health Information Management Supervisor,$49773,$89687,$161608
Healthcare Operations Manager,$45287,$80102,$141683
Registered Cardiac Sonographer,$85193,$111928,$147053
Barmaid,$24750,$48234,$94003
Senior Child Protective Investigator,$42213,$58958,$84144
Personnel Security Assistant,$28623,$40201,$56461
Electrician Technician,$38348,$60874,$96631
Imaging Research Associate,$39313,$62576,$99606
Credit Risk Specialist,$47681,$71160,$106201
Gameplay Programmer,$32862,$59044,$106085
Trainee Manager,$100231,$108513,$118504
Document Control Lead,$39925,$59587,$88930
High School Band Director,$34675,$57531,$95453
Workshop Supervisor,$36048,$60635,$101992
Crime Scene Technician,$30484,$43979,$63448
Global Planning Manager,$66546,$96458,$139817
Radiology Supervisor,$42440,$125539,$371344
Financial Crimes Analyst,$41326,$62923,$95806
Head Of Customer Support,$48228,$99986,$207291
Manufacturing Representative,$37089,$72961,$143529
Senior Team Manager,$44391,$75647,$128910
Test Development Specialist,$63871,$98715,$152570
Evaluation Engineer,$59731,$100443,$168903
Loan Support Analyst,$35117,$58519,$97517
Hospital Coder,$37085,$54482,$80040
Equal Employment Opportunity Specialist,$33857,$43424,$55694
Records Management Supervisor,$44433,$70736,$112608
Shipping And Receiving Manager,$32765,$44219,$59677
Engineering Planner,$43110,$69083,$110704
Supply Chain Engineer,$45410,$79001,$137438
Crew Planner,$31863,$44396,$61858
Program Evaluation Specialist,$29734,$46763,$73542
Purchasing Lead,$48732,$62265,$93488
Senior Long Term Care Specialist,$35362,$49393,$70497
Cash Office Specialist,$30895,$42028,$57174
Senior Library Specialist,$37633,$54579,$73513
Homework Helper,$24882,$39394,$62371
Steel Fabricator,$47355,$66432,$93194
Telemarketing Executive,$51858,$86814,$145333
Property Claims Supervisor,$56536,$84042,$124932
Yard Worker,$38419,$49425,$63583
Senior User Interface Engineer,$67844,$112408,$186246
College Registrar,$31405,$53736,$91947
Senior Recovery Analyst,$59465,$89049,$133351
General Helper,$27126,$39027,$56151
Bodyguard,$38316,$58562,$89504
Human Resources Strategic Partner,$64774,$107985,$180023
Nursing Attendant,$59745,$79413,$105556
Battalion Assistant Operations Officer,$46358,$89875,$174243
Tax Principal,$60662,$103610,$176963
Environmental Health Safety Coordinator,$57134,$83683,$122568
Quantitative Associate,$51184,$82207,$132033
Child And Youth Program Assistant,$28748,$39860,$55267
Corporate Security Officer,$42574,$58853,$81357
Social Work Student,$43393,$64526,$95950
Senior Reimbursement Specialist,$43406,$62601,$90284
Central Station Operator,$41104,$58093,$82105
Statistics Analyst,$45067,$76507,$129881
Security Shift Supervisor,$42040,$63675,$96445
Member Of The Board Of Director,$45568,$88377,$171402
Veterans Service Officer,$36580,$57221,$89510
Board Of Director,$45568,$88377,$171402
Property Controller,$73150,$107719,$158625
Mapping Specialist,$39162,$70245,$126000
Sensor Operator,$41104,$58093,$82105
Marine Inspector,$33581,$57481,$98389
International Travel Counselor,$27519,$38013,$52508
Senior Computer Programmer,$61208,$87213,$124267
Employee Health Coordinator,$55082,$79522,$114806
Independent Living Instructor,$16827,$32110,$61273
Field Office Director,$28608,$60147,$126455
Ocean Export Specialist,$39162,$70245,$126000
Adjunct Spanish Instructor,$49416,$82608,$138096
Corporate Parts Manager,$40240,$64015,$101835
Radiological Control Technician,$46621,$80495,$138979
District Sales Executive,$31368,$43934,$61533
Hydraulic Mechanic,$35971,$59093,$97076
Repair Supervisor,$34722,$63384,$115704
Interventional Radiologic Technologist,$46621,$80495,$138979
Judicial Administrative Assistant,$35136,$49758,$70465
Client Resolution Specialist,$37284,$61359,$100978
Commercial Support Specialist,$34104,$49265,$71167
Accounts Payable Officer,$28526,$38696,$52491
Army Reserve Administrator,$43708,$74678,$127592
Lineman,$32865,$52306,$83245
Logistics Project Manager,$42005,$68970,$113244
Information Technology Student Worker,$22622,$45233,$90441
Chemical Analyst,$46041,$72159,$113095
Voice Over Actor,$50044,$104666,$218907
Industrial Painter,$35486,$46278,$60352
Personal Banking Associate,$50454,$102394,$207803
Risk Supervisor,$58606,$98963,$167107
Second Cook,$33148,$47147,$67059
Medicare Billing Specialist,$27967,$37515,$50322
Registered Professional Land Surveyor,$61369,$91248,$135673
Talent Management Partner,$45500,$79880,$140237
Foreclosure Supervisor,$35361,$58648,$97272
Supervisory Medical Support Assistant,$33023,$46179,$64575
Loan Servicing Supervisor,$33902,$47153,$65585
Merchandise Presentation Manager,$16721,$42600,$108531
Claims Generalist Associate,$37098,$48157,$62514
Division Engineer,$59731,$100443,$168903
Utilization Review Specialist,$74450,$122903,$202890
Assisted Living Director,$26696,$44287,$73468
Division Leading Chief Petty Officer,$35649,$56742,$90314
Customer Care Officer,$30140,$41192,$56297
Information Assurance Officer,$58033,$117648,$238505
Plant Human Resources Manager,$55568,$80550,$116764
Customer Service Account Executive,$34627,$68923,$137188
Infantry Platoon Sergeant,$43733,$55527,$70502
Assistant Town Manager,$25929,$39615,$60526
Deputy City Manager,$72231,$118705,$195081
Information Governance Analyst,$58896,$89367,$135602
Stock Controller,$26911,$36623,$49839
Probation Supervisor,$35361,$58648,$97272
Senior Enlisted Advisor,$63015,$97108,$149646
Lead Economist,$93154,$152303,$232386
Clinical Studies Coordinator,$46885,$80940,$139730
Telecommunications Representative,$23360,$40142,$68980
Supply Assistant,$45410,$79001,$137438
Business Requirements Analyst,$55366,$84234,$128152
Clinical Documentation Specialist,$31873,$53079,$88395
Health Center Manager,$47469,$68487,$98812
Cybersecurity Associate,$51184,$82207,$132033
Spa Therapist,$42331,$77470,$141779
Global Key Account Manager,$35906,$65864,$120816
Intelligence Instructor,$16827,$32110,$61273
Lead Manufacturing Technician,$35258,$49692,$70034
Cabin Cleaner,$23448,$35264,$53036
Freight Flow Lead,$30588,$58075,$110260
3D Character Animator,$41966,$67449,$108408
Group Event Coordinator,$39540,$58126,$85447
Japanese Instructor,$16827,$32110,$61273
Carpentry Apprentice,$59548,$86709,$126259
Support Center Coordinator,$28567,$40387,$57097
Refrigeration Engineer,$63875,$94452,$139667
"Manager, Production Finance",$52950,$79457,$119233
Accounts Receivable Director,$43117,$58390,$79073
Hr Administrator,$40827,$59923,$87950
Kitchen Steward,$49331,$62322,$78734
Pct,$34552,$51762,$77545
Treasury Management Specialist,$69727,$102398,$150376
Master General Agent,$39018,$71133,$129683
Registered Psychological Assistant,$49120,$68935,$96743
Social Work Volunteer,$18626,$37528,$102022
Food Service Team Leader,$40383,$66060,$108063
Delivery Helper,$24990,$38007,$57806
Pediatric Dentist,$137689,$224347,$369572
Telesales Consultant,$51858,$86814,$145333
Senior Testing Engineer,$82817,$118762,$170309
Senior Mortgage Underwriter,$69364,$90575,$118273
Fiber Technician,$28581,$42998,$64688
Product Compliance Analyst,$41247,$71211,$122942
Chief Bottle Washer,$23448,$35264,$53036
Head Of Software Development,$54648,$98258,$176667
Ruby On Rails Developer,$79243,$116355,$170848
Software Implementation Manager,$41103,$68898,$115487
Dependency Case Manager,$28094,$45289,$73008
Reliability Specialist,$39162,$70245,$126000
Tv Host,$29147,$43368,$64527
Principal Real Estate Broker,$44291,$90347,$184275
Legal Manager,$54896,$89331,$145365
Take Out Cashier,$23445,$31971,$43598
Telephone Agent,$31979,$46123,$66523
Junior Management Analyst,$49593,$75254,$114191
Transportation Logistics Manager,$49918,$74817,$112137
Sales Order Coordinator,$36499,$65328,$116929
Transport Supervisor,$45326,$62405,$85918
Customer Trainer,$25803,$54301,$114273
Marina Manager,$36645,$69752,$132772
Order Management Supervisor,$33112,$51210,$79200
Employment Services Supervisor,$40750,$72021,$127288
Pharmacy Technican,$25339,$36233,$51809
Dealer Service Analyst,$40989,$76979,$144569
Mortgage Administrator,$43708,$74678,$127592
Program Finance Analyst,$52660,$81845,$127203
Director Of Instruction,$53306,$99247,$184783
Tower Operator,$41104,$58093,$82105
Echocardiographer,$106418,$137776,$178374
Logistics Team Leader,$27197,$48147,$85234
Auto Damage Appraiser,$34838,$58382,$97837
Drywall Installer,$33548,$53149,$84204
Audiology Technician,$22196,$39469,$70183
Audiology Student Clinician,$55206,$68071,$83934
Clinical Practice Manager,$38262,$64752,$109581
Residential Support Worker,$37651,$50428,$67540
Operations Training Supervisor,$54599,$80276,$118028
Certified Clinical Hemodialysis Technician,$42218,$61118,$88480
Critical Care Tech,$260705,$294380,$332405
Cultural Resources Specialist,$40843,$66985,$109859
Skycap,$17907,$27734,$42952
Facilities Services Manager,$44745,$69861,$109073
Academic Librarian,$36677,$57280,$89455
Housing Officer,$45488,$69792,$107082
Director Of Audit Services,$67071,$94413,$132900
It Service Delivery Representative,$41728,$86340,$178649
Wireman,$31309,$48980,$76625
Air Traffic Control Supervisor,$31139,$54740,$96231
Style Director,$53306,$99247,$184783
Counseling Psychologist,$66737,$101711,$155012
Resource Director,$53306,$99247,$184783
High School Student,$34675,$57531,$95453
Warehouse Package Handler,$28706,$34732,$42023
Protective Security Officer,$42574,$58853,$81357
Clinical Document Specialist,$31873,$53079,$88395
Provisioning Supervisor,$35361,$58648,$97272
Regional Risk Manager,$49811,$83900,$141318
Lead Manufacturing Engineer,$85420,$120189,$154415
Internal Audit Assistant,$56432,$89112,$140718
Associate Director Of Annual Giving,$21960,$65900,$197761
Kitchen Chef,$28042,$38766,$53590
Senior Order Administrator,$32232,$39342,$62407
Pet Sitting,$27208,$44347,$72281
Early Intervention Speech Language Pathologist,$78525,$116636,$173244
Radiologist Assistant,$42440,$125539,$371344
Commercial Banking Manager,$45140,$74151,$121806
Collaboration Engineer,$59731,$100443,$168903
Patient Experience Coach,$19234,$36172,$68027
Oncology Physician,$100969,$184468,$337018
Slot Ambassador,$17023,$28196,$46705
Flight Superintendent,$62952,$94515,$141902
Mechanical Assistant,$32505,$43866,$59197
Expanded Function Dental Assistant,$50619,$70631,$98555
Crisis Manager,$34571,$57580,$95902
Channel Director,$53306,$99247,$184783
Regulatory Affairs Analyst,$70943,$126103,$224149
Kitchen Attendant,$28042,$38766,$53590
Elementary School Librarian,$30330,$51295,$86751
Incident Coordinator,$63199,$95211,$143437
Diamond Grader,$20605,$35864,$62424
Bilingual Paralegal,$37386,$57464,$88327
Senior Student Advisor,$28742,$45941,$73433
Millwright Foreman,$47136,$62652,$83276
Warrant Officer,$14500,$25699,$47915
Senior Hr Specialist,$52900,$79042,$121916
Materials Technician,$43509,$60937,$85344
Truck Helper,$49023,$83409,$141915
Perishables Assistant,$38697,$59140,$90385
Inflight Supervisor,$41441,$65891,$104767
Professor Of Nursing,$48472,$98149,$198737
Material Expeditor,$24103,$37208,$57440
Healthcare Documentation Specialist,$38185,$57243,$85813
Litigation Support Coordinator,$28567,$40387,$57097
Senior Healthcare Analyst,$59465,$89049,$133351
Product Process Manager,$63466,$94100,$139521
Senior Moderator,$28300,$44373,$72444
Senior Mobility Specialist,$28466,$50374,$95375
Reimbursement Supervisor,$35299,$68418,$132610
Administrative Program Specialist,$30624,$44421,$64434
Senior Commodity Manager,$75963,$107404,$173964
Principal Second Violin,$60662,$103610,$176963
Mechanical Inspector,$30921,$48695,$76684
Transmission Specialist,$39162,$70245,$126000
Gym Instructor,$16827,$32110,$61273
Senior Benefit Specialist,$49648,$72219,$107979
Assistant Rector,$38697,$59140,$90385
Head Of Section,$50579,$103296,$210959
Lead Framer,$33495,$50205,$75250
Export Sales Assistant,$40780,$55123,$74510
Transportation Area Manager,$38695,$64790,$108482
Computational Biologist,$51640,$77849,$117360
Production Control Officer,$21816,$37201,$63435
Full Stack Javascript Developer,$77285,$121704,$191652
2D Artist,$50837,$75357,$111704
